id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_merk,produk_dihasilkan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,"VEGIEZ, CUPUKEIK","BOLU KEJU, BROWNIES, BOLNIZ, BROLEN, PIE : DURIAN, KEJU, SUSU, NASTAR,
  KASTANGEL, SEMPRIT, SAGU KEJU, TRIPLE CHOCOLATE CAKE, BOLU PEUYEUM, BANANA
  BREAD",2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,BAWANG MANIAK,"BAWANGÂ  GORENG RASA ORIGINAL DAN
  PEDAS",2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,"SNOW MOONCAKE, ONI BOLLI",SNOW MOONCAKE,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,CAHAYA MAS,MINYAK GORENG,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,GYWNNEÂC BAKERY,"BOLU, KUE KERING",2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,MURNI,CINCAU HITAM,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,DINGÂS BATAGOR,BASO TAHU GORENG DAN SIOMAY,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,CUMPIAH,"SUMPIA ISI, SUMPIA RASA",2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,KACANG BAWANG PASKO,KACANG GORENG,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,DÂJAKHAZ,BATAGOR KERING RASA,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,H@I BILIK,KERIPIK,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,TRAPESIUM,"KUE SEMPRONG, KUE JEPIT MANIS, SIMPING UDANG",2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,SAWARGI,ROTI TAWAR BAKAR/KUKUS,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,NYAI,"BATAGOR, PEMPEK, LUMPIA, OTAK Â OTAK",2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,SEDAP RASA,"CHISTIK BAWANG, KACANG BAWANG",2017
16,32,JAWA BARAT,3273,KOTA BANDUNG,LASTRO,FROZEN BARBEQUE,2017
17,32,JAWA BARAT,3273,KOTA BANDUNG,LATUNA,OSENG TUNA,2017
18,32,JAWA BARAT,3273,KOTA BANDUNG,PEMPEK EMAK 729,PEMPEK,2017
19,32,JAWA BARAT,3273,KOTA BANDUNG,RADJA,PEMPEK,2017
20,32,JAWA BARAT,3273,KOTA BANDUNG,SARI TEMPE,TEMPE,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,ADIN COMRING,"COMRING (RASA : ORIGINAL, PEDAS), KERIPIK SINGKONG, SISTIK SINGKONG",2017
22,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,AMDK DEMINERAL,2017
23,32,JAWA BARAT,3273,KOTA BANDUNG,MANG EDI TEA,RUJAK ASINAN,2017
24,32,JAWA BARAT,3273,KOTA BANDUNG,BUNDA,"ABON IKAN, BANDENG ISI, OTAK-OTAK, BANDENG PRESTO, NUGGET IKAN",2017
25,32,JAWA BARAT,3273,KOTA BANDUNG,"KULIA 17, KURING 17","KERIPIK, KUE BAWANG",2017
26,32,JAWA BARAT,3273,KOTA BANDUNG,BATAGOUS,"KERIPIK, SALE PISANG",2017
27,32,JAWA BARAT,3273,KOTA BANDUNG,KING RIPIK,KERIPIK,2017
28,32,JAWA BARAT,3273,KOTA BANDUNG,MA ENOK,"ALIAGREM, PISANG KRISPI, ULEN KRISPI, SURABI UBI UNGU, BOLU, PUDING, AWUG",2017
29,32,JAWA BARAT,3273,KOTA BANDUNG,KOKAH,KUE KERING,2017
