"Jumlah UMKM yang mengikuti pelatihan kewirausahaan";"";"";"";"";"";"";"";""
"DISKOPUKM/065";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"Kode";":  DISKOPUKM/065";"";"";"";"";"";"Frekuensi Data";":  Tahunan"
"Produsen Data";":  Dinas Koperasi Usaha Kecil dan Menengah (DISKOPUKM)";"";"";"";"";"";"Tgl. Input Data";":  07 November 2022"
"Sifat Data";":  Data Non Prioritas";"";"";"";"";"";"Tgl. Data Diperbaharui";":  06 Maret 2026, Pukul 16:01 WIB"
"";"";"";"";"";"";"";"";""
"Kegiatan Statistik Penghasil Data";":  Kompilasi Produk Administrasi";"";"";"";"";"";"";""
"Konsep";":  [K02277] Usaha Mikro, Kecil, dan Menengah (UMKM)";"";"";"";"";"";"";""
"Klasifikasi";":  -";"";"";"";"";"";"";""
"Definisi";":  UMKM didefinisikan sebagai: 1. Usaha Mikro adalah usaha produktif milik orang perorangan dan/atau badan usaha perorangan yang memenuhi kriteria sebagai berikut: Usaha yang memiliki modal usaha sampai dengan paling banyak Rp1.000.000.000,00 (satu miliar rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau Usaha yang memiliki hasil penjualan tahunan sampai dengan Paling banyak Rp2.000.000.000,00 (dua miliar rupiah). 2. Usaha Kecil adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan atau bukan cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dari Usaha Menengah atau Usaha Besar yang memenuhi kriteria sebagai berikut: Usaha yang memiliki modal usaha lebih dari Rp1.000.000.000,00 (satu miliar rupiah) sampai dengan paling banyak Rp5.000.000.000,00 (lima miliar rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau Usaha yang memiliki hasil penjualan tahunan lebih dari Rp2.000.000.000,00 (dua miliar rupiah) sampai dengan Paling banyak Rp15.000.000.000,00 (lima belas miliar rupiah);. 3. Usaha Menengah adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan atau cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dengan Usaha Kecil atau Usaha Besar yang memenuhi kriteria sebagai berikut: Usaha yang memiliki modal usaha lebih dari Rp5.000.000.000,00 (lima miliar rupiah) sampai dengan paling banyak Rp 10.000.000.000,00 (sepuluh rniliar rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau Usaha yang memiliki hasil penjualan tahunan lebih dari Rp15.000.000.000,00 (lima belas miliar rupiah) sampai dengan paling banyak Rp 50.000.000.000,00 (lima puluh miliar rupiah).";"";"";"";"";"";"";""
"Ukuran";":  Total";"";"";"";"";"";"";""
"Satuan";":  UMKM";"";"";"";"";"";"";""
"Keterangan";":  ";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"Series Column";"";"";"";"";"";"";"";""
"Tahun";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Jumlah UMKM yang mengikuti pelatihan kewirausahaan";"214";"598";"561";"726";"1.89";"1.475";"601";"385"
